o_provincia	o_localidad	o_calle	o_numero	o_CP
MISIONES	POSADAS	CHACRA 32-33 EDIF 39 ESC 78 DEPTO K	0	3300
BUENOS AIRES	GENERAL VILLEGAS	ZONA RURAL	0	6230
LA PAMPA	ADOLFO VAN PRAET	REMEDIOS DE ESCALADA	0	6212
RIO NEGRO	RIO COLORADO	SARMIENTO Y RIVADAVIA	0	8138
MISIONES	BARRANCON, DPTO. GENERAL MANUEL BELGRANO	RUTA NAC. 14 KM 1.435	0	3366
SALTA	CERRILLOS	CERRILLOS	0	4403
CORDOBA	ITALO	S M	0	6271
CORDOBA	MORRISON	ZONA RURAL	0	2568
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	0	0	0
SANTA CRUZ	PICO TRUNCADO	RAMON LISTA	0	9015
MISIONES	SANTA ANA	AV.SAN MARTIN	0	3316
BUENOS AIRES	ROBERTS	ESTANCIA EL TECOLOTE	0	6075
CORDOBA	VILLA CURA BROCHERO	RUTA 14 S N	0	5891
MENDOZA	TUPUNGATO	LINIERS S/N	0	5561
CORDOBA	ARGUELLO	URQUIZA ESQ TABLADA	0	5147
MISIONES	JARDIN AMERICA	BAIGORRIA	0	3328
SALTA	CERRILLOS	FINCA EL CEBILLAR	0	4403
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	ANTARTIDA ARGENTINA AVDA. (ZONA PUERTO)	0	1104
CORRIENTES	GARRUCHOS	LOTE 5	0	3351
CHUBUT	LELEQUE	LELEQUE	0	9213
BUENOS AIRES	DEL VISO	PANAMERICANA RAMAL PILAR Y RUTA 26	0	1669
CHUBUT	GOBERNADOR COSTA	GOBERNADOR COSTA	0	9223
SALTA	CERRILLOS	LA ISLA	0	4403
SANTA FE	ROSARIO	WILDE Y MENDOZA	0	2000
CHUBUT	TREVELIN	28 DE JULIO	0	9203
RIO NEGRO	ALLEN	RUTA 65 Y CALLE SALTA	0	8328
RIO NEGRO	ALLEN	RUTA PCIAL 65 Y CALLE SALTA S/N	0	8328
CHUBUT	ESQUEL	BO ESTACION	0	9200
NEUQUEN	NEUQUEN	ESTRADA CONSTRUIDA CASA A - 20	0	8300
CHUBUT	EPUYEN	EPUYEN	0	9211
CHUBUT	CHOLILA	CHOLILA	0	9217
SAN JUAN	CAUCETE	Av. del Libertador San MArtín (Oeste) 5400	0	5442
SANTA CRUZ	JARAMILLO	ZONA DE ESTANCIAS	0	9053
CHUBUT	TREVELIN	PATAGONIA S/N	0	9203
MISIONES	CONCEPCION DE LA SIERRA	COLONIA CONCEPCION DE LA SIERRA	0	3355
BUENOS AIRES	ARROYO DULCE	CUYO	0	2743
BUENOS AIRES	ELORDI	ZONA RURAL	0	6242
BUENOS AIRES	GENERAL VILLEGAS	PRINGLES	0	6230
SAN JUAN	9 DE JULIO	BEGUERI Y BILBAO	0	5417
CORDOBA	LECUEDER	LECUEDER	0	6273
BUENOS AIRES	DON TORCUATO	PANAMERICANA Y RUTA 202	0	1611
BUENOS AIRES	MAR DEL PLATA	ESPIGON 1. BQNA PESC. PUERTO S/N	0	7600
BUENOS AIRES	SARANDI	EDISON Y ACCESO SUDESTE (ANEXO T.5)	0	1872
BUENOS AIRES	FLORIDA	MELO Y BERUTTI	0	1602
NEUQUEN	CENTENARIO	SEC. CHACRAS LOTE 2	0	8309
BUENOS AIRES	GENERAL PACHECO	CALLE 4 ENTRE GUTEMBERG Y AGUA BENDITA	0	1617
BUENOS AIRES	EL TALAR	MARCOS SASTRE Y LIBERTAD	0	1618
BUENOS AIRES	BECCAR	HUDSON Y PADRE ACEVEDO	0	1643
SALTA	ANTA	CNEL. MOLLINEDO	0	4434
BUENOS AIRES	MIRAMAR	RUTA 88 KM. 70	0	7607
BUENOS AIRES	DOLORES	CASILLA DE CORREO N* 8	0	7100
TIERRA DEL FUEGO	USHUAIA	TELENIKA Y KARUKINKA	0	9410
TIERRA DEL FUEGO	USHUAIA	ROSAS Y SAN MARTIN	0	9410
SANTA CRUZ	JARAMILLO	JARAMILLO DTO DESEADO	0	9053
CHUBUT	TREVELIN	TREVELIN	0	9203
CHUBUT	EPUYEN	EPUYEN	0	9211
SANTA CRUZ	PUERTO SAN JULIAN	SAN MARTIN AVDA Y PIEDRABUENA	0	9310
TIERRA DEL FUEGO	USHUAIA	ROSAS JUAN MANUEL	0	9410
BUENOS AIRES	BARTOLOME MITRE (ESTACION	GRAL URQUIZA	0	1636
BUENOS AIRES	CARILO	LAUREL Y COSTANERA	0	7167
SANTA FE	RECONQUISTA	H. IRIGOYEN Y COLON	0	3560
MISIONES	CONCEPCION DE LA SIERRA	LANUSSE	0	3355
MENDOZA	SANTA ROSA	2 Y CHIVILCOY - COLONIA LAMBARE	0	5596
SAN JUAN	SAN JUAN	ENTRE RIOS SUR	0	5400
BUENOS AIRES	GENERAL VILLEGAS	H. IRIGOYEN	0	6230
CHUBUT	TREVELIN	AP IWAN	0	9203
MISIONES	CANDELARIA	SAN MARTIN (S/NUMERO)	0	3308
BUENOS AIRES	SAN BERNARDO ,PTDO. MUNICIPIO URBANO DE LA COSTA	ESQUIU Y MITRE	0	7111
BUENOS AIRES	MERCEDES	3 Y 38	0	6600
NEUQUEN	RINCON DE LOS SAUCES	30 DE OCTUBRE	0	8319
CHUBUT	TREVELIN	S MARTIN Y EVANS	0	9203
CHUBUT	TREVELIN	S M Y EVANS	0	9203
SALTA	LA ISLA	FINCA SALA VIEJA - (CERRILLOS)	0	4400
BUENOS AIRES	VILLA SAUZE	ZONA RURAL	0	6235
SANTA CRUZ	PUERTO SAN JULIAN	MITRE Y 9 DE JULIO	0	9310
CORDOBA	CORDOBA	9 MANZANA 15 LOTE 37	0	5000
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	IRIARTE Y LEIVA VILLA 21 MANZANA 15 CASA 08	0	1437
BUENOS AIRES	MORENO	J. DIAZ SOLIS Y GAONA	0	1744
CHUBUT	ESQUEL	FONTANA Y RIVADAVIA	0	9200
BUENOS AIRES	EL TALAR	BIBILONI Y OLAVARRIA S/N	0	1618
RIO NEGRO	GENERAL ROCA	9 DE JULIO Y NEUQUEN S/N	0	8332
CORDOBA	CORDOBA	CAMINO SAN CARLOS KM. 5 1/2	0	5000
BUENOS AIRES	GENERAL RODRIGUEZ	LOS GRANADOS S/N -BARRIO M DEL OESTE	0	1748
BUENOS AIRES	GENERAL MANSILLA	SAN PABLO S/N ENTRE AV. MITRE Y MONTEVIDEO	0	1911
SANTA FE	LAGUNA PAIVA	CARLOS PELLEGRINI Y BS.AS.	0	3020
BUENOS AIRES	INGENIERO MASCHWITZ	JOSE HERNANDEZ Y LAS RETAMAS	0	1623
CORDOBA	EL FORTIN	RADIO URBANO	0	5951
BUENOS AIRES	9 DE JULIO	RUTA NACIONAL N* 5 KM 265	0	6500
BUENOS AIRES	25 DE MAYO	27 E/7 Y 8	0	6660
BUENOS AIRES	AMERICA	RIVADAVIA Y DR.BANCI	0	6237
BUENOS AIRES	PASTEUR	SAN LORENZO	0	6077
BUENOS AIRES	LOS TOLDOS	CUARTEL 3	0	6015
TUCUMAN	MANANTIAL	RUTA 301 Y BERNABE ARAOZ	0	4105
SANTA FE	CARCARAÑA	RUTA NAC. NRO. 9 Y JUAN SEMINO	0	2138
SAN LUIS	ARIZONA	ZONA RURAL	0	6389
ENTRE RIOS	CONCORDIA	COLONIA YERUA S/N	0	3200
CORRIENTES	SANTO TOME	SAN MARTIN Y URUGUAY	0	3340
MISIONES	SANTA ANA	AV.FELIPE GUNTHER	0	3316
MENDOZA	PERDRIEL	BRANDSEN	0	5509
MENDOZA	LA LIBERTAD	EL MOLINO	0	5579
CORDOBA	VILLA NUEVA	RUTA PROVINCIAL NRO. 4	0	5903
CORRIENTES	SANTO TOME	RUTA NACIONAL 14-KM.686	0	3340
CORRIENTES	SANTO TOME	BRASIL Y PELLEGRINI	0	3340
CORDOBA	LAS PERDICES	VELEZ SARSFIELD Y 9 DE JULIO	0	5921
CORDOBA	CORDOBA	ECHEVERRIA Y GABRIELA MISTRAL - BARRIO BALCARSE	0	5000
CORDOBA	ALMAFUERTE	AV BUENOS AIRES ESQ. ITALIA	0	5854
CORDOBA	LA CRUZ, DEPARTAMENTO CALAMUCHITA	VELEZ SARSFIELD S/N	0	5859
CORRIENTES	CORONEL DESIDERIO SOSA	ET* SAN ISIDRO	0	3342
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	BRASIL S N Y BENITO CORREA DARSENA SUD	0	1107
ENTRE RIOS	GUALEGUAY	ESTANCIA SAN JORGE 6 DISTRITO	0	2840
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	ESTACION PASTEUR (SUBTE B)	0	1028
SIN PROVINCIA	SIN LOCALIDAD	RUTA 5	0	5186
CORDOBA	CORDOBA	CNO SAN CARLOS KM 5 1/2	0	5000
CORRIENTES	ITUZAINGO	CORRIENTES E IBERA	0	3302
CORRIENTES	GOBERNADOR INGENIERO VALENTIN VIRASORO	RUTA 14 Y AV.DE CIRCUNVALACION SUR	0	3342
MENDOZA	MEDRANO	TRES ACEQUIAS	0	5585
MENDOZA	CIUDAD DE JUNIN	ISIDORO BOUSQUET	0	5573
MENDOZA	SAN MARTIN	BO MEBNA MANZ. B CASA 22	0	5570
MENDOZA	PALMIRA	MAZA Y LIBERTAD	0	5584
MENDOZA	MEDRANO	SANTA INES	0	5585
CORDOBA	CORDOBA	RUTA 111 KM 7 Y 1/2 VA RETIRO	0	5000
CORDOBA	JUAREZ CELMAN	CNO JESUS MARIA KM 10 Y 1/2	0	5145
CORDOBA	SANTA ROSA DE CALAMUCHITA	PUBLICA S/N SANTA MONICAÑ	0	5196
SAN LUIS	VILLA MERCEDES	LEON GUILLET E ITALIA	0	5730
BUENOS AIRES	ALBERDI	CONSTITUCION	0	6034
BUENOS AIRES	BAIGORRITA	URQUIZA Y ALTE BROWN	0	6013
CORDOBA	VILLA DEL DIQUE	RUTA PROVINCIAL NRO 5	0	5862
SAN LUIS	VILLA MERCEDES	SAN MARTIN Y EDISON	0	5730
SAN LUIS	JUAN JORBA	RUTA 8 KM 709	0	5731
SAN LUIS	VILLA MERCEDES	BELGRANO Y JUAN LLERENA	0	5730
SAN LUIS	CALDENADAS (EMBARCADERO FCGSM)	CALDENADAS	0	5738
SAN LUIS	CALDENADAS (EMBARCADERO FCGSM)	CALDENADAS	0	5738
BUENOS AIRES	PILAR	RUTA 25 CUARTEL V	0	1629
TUCUMAN	SAN MIGUEL DE TUCUMAN	SIN NUMERO	0	4000
TUCUMAN	LOS GUTIERREZ	RUTA 304 - KM.10	0	4178
ENTRE RIOS	PARANA	RUTA 12 KM 18 ALDEA MARIA LUISA	0	3100
BUENOS AIRES	ARENAZA	ZONA RURAL	0	6075
SAN LUIS	SAN LUIS	PRESIDENTE PERON	0	5700
BUENOS AIRES	ALEJANDRO KORN	RUTA 210 KM 32500	0	1864
MENDOZA	PERDRIEL	RUTA 40 KM 22	0	5509
CORDOBA	COLONIA CAROYA	LOTE 44 B	0	5223
SANTIAGO DEL ESTERO	PINTO	RAMON CARRILLO	0	2356
MENDOZA	BOWEN	CENTENARIO	0	5634
MENDOZA	REDUCCION	CENTENARIO	0	5579
SAN JUAN	CAUCETE	RUTA 20 Y LEANDRO ALEM	0	5442
MENDOZA	MAIPU	PADRE VAZQUEZ Y PERON	0	5515
SANTA FE	PEREZ	ZONA RURAL	0	2121
MENDOZA	SANTA ROSA	BARRERA	0	5596
MENDOZA	RODEO DE LA CRUZ	BO. COVIMET MANZ V CASA 2	0	5525
MENDOZA	GENERAL GUTIERREZ	MAZA Y 6 DE SETIEMBRE	0	5511
CORDOBA	VILLA DE LAS ROSAS	BELGRANO	0	5885
CORDOBA	LAS TAPIAS - SAN JAVIER	PUBLICA	0	5885
JUJUY	SAN PEDRO	MARTIN M DE GUEMES	0	4500
LA PAMPA	INTENDENTE ALVEAR	AV SAN MARTIN	0	6221
LA PAMPA	INTENDENTE ALVEAR	SECCION QUINTA	0	6221
CORDOBA	ITALO	INDEPENDENCIA	0	6271
MISIONES	OBERA	LOTE 30	0	3360
MISIONES	CAMPO GRANDE	LOTE 177	0	3362
MISIONES	OBERA	CASILLA DE CORREO 21	0	3360
MISIONES	MONTECARLO	BARRIO HENTER	0	3384
MISIONES	JARDIN AMERICA	ZONA RURAL	0	3328
BUENOS AIRES	TRENQUE LAUQUEN	RUTA 5 KM 446	0	6400
CORDOBA	VILLA DOLORES	AV SAN MARTIN Y LUIS LAJE	0	5870
LA PAMPA	INTENDENTE ALVEAR	RUTA 1 Y ACCESO FORTIN ALSINA	0	6221
CORDOBA	RIO 3ro.	LAVALLE Y ACUÑA	0	5850
MISIONES	COLONIA VICTORIA	KM.5 COLONIA VICTORIA	0	3382
BUENOS AIRES	CARLOS SALAS	CARLOS SALAS	0	6453
BUENOS AIRES	MONTE HERMOSO	AV INT R MAJLUF	0	8153
MISIONES	POSADAS	AV QUARANTA Y H.T. PEREZ (RUTA 12)	0	3300
RIO NEGRO	CIPOLLETTI	RUTA 151 KM 8 CASILLA CORREO 118	0	8324
BUENOS AIRES	25 DE MAYO	29 E/8 Y 9	0	6660
MISIONES	GOBERNADOR ROCA	ZONA RURAL	0	3324
ENTRE RIOS	SAN SALVADOR	10 JUNTA	0	3218
BUENOS AIRES	JUNIN	25 DE MAYO	0	6000
BUENOS AIRES	MAIPU	LAVALLE Y LAPRIDA	0	7160
MISIONES	EL ALCAZAR	RUTA PROV.211 KM 24 LOTE 4	0	3384
MISIONES	CAMPO RAMON	LOTE 149	0	3361
LA PAMPA	SANTA ROSA	RUTA 5 KM 330	0	6300
BUENOS AIRES	GARDEY	ZONA RURAL	0	7003
CORDOBA	VILLA RETIRO	RUTA PROV 111 KM 7 Y 1/2	0	5101
CORDOBA	LEGUIZAMON	S/N	0	6128
CORDOBA	CRUZ DEL EJE	H IRIGOYEN Y ALTE BROWN	0	5280
CORDOBA	WASHINGTON	12 Y 5	0	6144
CORDOBA	LA GRANJA	PUBLICA	0	5115
SANTA FE	SAN JUSTO	RUTA NAC 11 KM 565.5	0	3040
SANTA FE	MARCELINO ESCALADA	ZONA URBANA	0	3042
CORDOBA	SARMIENTO	ITALIA ESQ 9 DE JULIO	0	5212
JUJUY	LIBERTADOR GENERAL SAN MARTIN	MZ 101 LOTE 11 B*18 DE NOVIEMBRE	0	4512
SANTA FE	LA PENCA	ZONA RURAL	0	3000
MISIONES	RUIZ DE MONTOYA	AV LOS INMIGRANTES	0	3334
SAN LUIS	TILISARAO	AV CORDOBA Y SARMIENTO	0	5773
MISIONES	JARDIN AMERICA	ZONA RURAL	0	3328
SALTA	METAN	AVELLANEDA ESQUINA SALTA	0	4440
SALTA	METAN	25 DE MAYO ESQ MITRE	0	4440
SALTA	METAN	SALTA	0	4440
SAN LUIS	VILLA MERCEDES	RENCA Y RAUL B DIAZ	0	5730
SAN LUIS	VILLA MERCEDES	BALCARCE Y MARCONI	0	5730
MISIONES	PUERTO LEONI	ZONA RURAL	0	3332
MISIONES	OBERA	EX RUTA 14 KM 10	0	3360
MISIONES	JARDIN AMERICA	ZONA RURAL	0	3328
BUENOS AIRES	VILLA GESELL	AV COSTANERA E 301 Y AV BS AS	0	7165
BUENOS AIRES	VILLA GESELL	AVDA 1 E PASEOS 110 Y 111	0	7165
BUENOS AIRES	VILLA GESELL	PASEO 128 Y AVDA 1	0	7165
CORDOBA	EL CONDOR	RUTA 20 KM 92	0	5153
CORDOBA	CRUZ DEL EJE	AVELLANEDA Y MORENO	0	5280
BUENOS AIRES	ZARATE	CRUCERO GENERAL BELGRANO	0	2800
SANTA FE	SAN JUSTO	RUTA NACIONAL 11 KM 564	0	3040
SANTA FE	GRAL. LAGOS	RUTA 21 Y LISANDRO DE LA TORRE	0	2126
BUENOS AIRES	ZARATE	SOLER Y MATHEU	0	2800
SANTA FE	VERA	SAN MARTIN	0	3550
SANTA FE	VERA	MORENO	0	3550
SANTA FE	VERA	9 DE JULIO	0	3550
SANTA FE	VERA	SALTA	0	3550
SANTA FE	VERA	RIVADAVIA Y L. DE LA TORRE	0	3550
SANTA FE	VERA	BELGRANO Y CORDOBA	0	3550
SANTA FE	VERA	BELGRANO	0	3550
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CORRIENTES Y URUGUAY SUBTE B ESTACION URUGUAY L 13	0	1043
RIO NEGRO	RIO COLORADO	COLONIA J ECHARREN	0	8138
BUENOS AIRES	MERCEDES	31 Y 112	0	6600
BUENOS AIRES	ROBERTS	RIVADAVIA Y AMEGHINO	0	6075
BUENOS AIRES	MERCEDES	32 Y 41	0	6600
CORDOBA	CRUZ DEL EJE	COSTANERA S/N	0	5280
BUENOS AIRES	MERCEDES	22 Y 17	0	6600
BUENOS AIRES	MERCEDES	33 ENTRE 110 Y112	0	6600
LA PAMPA	LA PAMPA	CONHELLO	0	6381
SANTA FE	ALVEAR	ITALIA	0	2126
RIO NEGRO	SAN CARLOS DE BARILOCHE	VILLA CATEDRAL	0	8400
BUENOS AIRES	SALAZAR	AV SARMIENTO Y MORENO	0	6471
BUENOS AIRES	SAN MARTIN ,PTDO. GENERAL SAN MARTIN	GONZALEZ JOAQUIN V Y BELGRANO	0	1650
CORDOBA	CORDOBA	RUTA 111 KM 7 Y 1/2	0	5000
BUENOS AIRES	SALLIQUELO	STRAEDER	0	6339
ENTRE RIOS	COLON	ACCESO PUENTE INT.GRAL ARTIGAS	0	3280
SANTA FE	ARROYO SECO	ISLAS MALVINAS Y AUTOPISTA P.E ARAMBURU	0	2128
BUENOS AIRES	PEREZ MILLAN	CUARTEL NOVENO	0	2933
BUENOS AIRES	MORENO	RUTA 23 Y ALBARRACIN	0	1744
BUENOS AIRES	ROBERTS	ZONA RURAL	0	6075
CORDOBA	MARCOS JUAREZ	RUTA NACIONAL 9 KM 44	0	2580
SANTA FE	SAN JOSE DEL RINCON	RUTA 1 KM 5.200	0	3001
RIO NEGRO	CIPOLLETTI	ROCA E INDEPENDENCIA	0	8324
RIO NEGRO	CIPOLLETTI	SECC CHACRAS 031 6 059 01B	0	8324
BUENOS AIRES	AZUL	LAS FLORES Y BELGRANO	0	7300
CORDOBA	COLONIA TIROLESA	RUTA A 74	0	5101
CORDOBA	COLONIA TIROLESA	RUTA A 74	0	5101
BUENOS AIRES	25 DE MAYO	29 E/10 Y 11	0	6660
SAN LUIS	ANCHORENA	ZONA RURAL	0	6389
CORDOBA	COLONIA TIROLESA	RUTA A74	0	5101
BUENOS AIRES	LA PLATA	79 E 13 Y 14	0	1900
CORDOBA	CORDOBA	AV. CARCANO KM. 0.5	0	5000
CORDOBA	LA RANCHERITA	POTRERO DE GARAY	0	5189
CORDOBA	COLONIA TIROLESA	RUTA PCIAL 111 KM 13	0	5101
LA PAMPA	RANCUL	COLON Y AVELLANEDA	0	6214
BUENOS AIRES	BENAVIDEZ	ALVEAR E RUTA 9 Y BOLIVIA	0	1621
SAN LUIS	MERLO	JANSON Y CNEL MERCAU	0	5881
LA PAMPA	WINIFREDA	ZONA RURAL	0	6313
CORDOBA	HUINCA RENANCO	RIO NEGRO	0	6270
BUENOS AIRES	25 DE MAYO	11 E/25 Y 26	0	6660
CORDOBA	VILLA MARIA	MERCADO DE ABASTO PUESTO 10	0	5900
CORDOBA	CORDOBA	ALBERDI Y ACUNA	0	5000
CHUBUT	COMODORO RIVADAVIA	RUTA NACIONAL N 3 ACCESO AEROPUERTO	0	9000
BUENOS AIRES	OLIVOS	AVDA MAIPU Y SAN LORENZO	0	1636
BUENOS AIRES	GUILLERMO E. HUDSON	73 Y 164	0	1885
BUENOS AIRES	PLATANOS	50 Y 156	0	1885
BUENOS AIRES	BENITO JUAREZ	SUIPACHA Y CATAMARCA	0	7020
CORDOBA	FERREYRA, DEPARTAMENTO CAPITAL	CNO A LA CARBONADA KM 9 1/2	0	5123
CORDOBA	RIO BAMBA	BRUSA	0	6134
CORDOBA	COLONIA TIROLESA	RUTA A 74 KM 15	0	5101
MENDOZA	NUEVA CALIFORNIA	VOZZI S/N	0	5535
MENDOZA	EL CENTRAL	CHIMBAS KM 27	0	5589
MENDOZA	NUEVA CALIFORNIA	ORTIZ BASUALDO S/N	0	5535
MENDOZA	COSTA DE ARAUJO	BELGRANO ESQ URQUIZA	0	5535
BUENOS AIRES	CACHARI	AV SAN MARTIN Y ANDRADE	0	7214
BUENOS AIRES	CACHARI	ALSINA Y ESPAÑA	0	7214
RIO NEGRO	CIPOLLETTI	CASILLA DE CORREO 143	0	8324
SANTA FE	GRAL. LAGOS	ZONA RURAL	0	2126
BUENOS AIRES	GONZALEZ MORENO	ZONA RURAL	0	6239
LA PAMPA	INTENDENTE ALVEAR	ZONA RURAL	0	6221
CORDOBA	CORDOBA	FRUCTUOSO RIVERA	0	5000
BUENOS AIRES	CORONEL GRANADA	JULIO A ROCA Y SAAVEDRA	0	6062
BUENOS AIRES	CORONEL GRANADA	SAN MARTIN	0	6062
SAN JUAN	9 DE JULIO	ZAPATA	0	5417
ENTRE RIOS	SAN SALVADOR	RUTA NAC 18 KM 209	0	3218
