o_provincia	o_localidad	o_calle	o_numero	o_CP
CORDOBA	"CORDOBA ESTAFETA N"" 16"	BELTRAN F. LUIS ESQ. M CARDEÑOSA (LOCAL 213)	0	5009
MISIONES	SANTO PIPO	ZONA RURAL	0	3326
MENDOZA	RUSSELL	MZNA B CASA 13 BARRIO AOMA	0	5517
BUENOS AIRES	SAN ANDRES DE GILES	ESTABLECIMIENTO LAS MARIAS VILLA RUIS	0	6720
MISIONES	ALMIRANTE BROWN	AV HOMERO JAUREGUI	0	3366
MISIONES	CAMPO RAMON	LOTE 93 SECCION XI	0	3361
LA PAMPA	RANCUL	ESTANCIA LA MARGARITA (ZONA RURAL)	0	6214
BUENOS AIRES	TRENQUE LAUQUEN	RUTA 5 KM. 451	0	6400
SANTA FE	RECREO SUR	RUTA NAC 11 KM 478 RECREO SUR	0	3001
CORDOBA	CHAJAN	CORDOBA Y RIVADAVIA	0	5837
SANTA FE	TEODELINA	RUTA PROV. 94	0	6009
LA PAMPA	EDUARDO CASTEX	ZONAR RURAL	0	6380
MISIONES	CANDELARIA	ESTABL. SOL DE MAYO	0	3308
BUENOS AIRES	PILAR	RUTA 25 Y CARLOS PELLEGRINI	0	1629
FORMOSA	FORMOSA	BARRIO FONTANA CASA 19	0	3600
CHUBUT	COMODORO RIVADAVIA	GENERAL MOSCONI RUTA 3 KM 4	0	9000
BUENOS AIRES	LA PLATA	RUTA PROV 36 Y 630	0	1900
CORDOBA	LA HERRADURA	CAMPO LA ELSA	0	5900
CORDOBA	SAN MARCOS SIERRAS	20	0	5282
BUENOS AIRES	AMERICA	ANTARTIDA ARGENTINA	0	6237
MISIONES	OASIS	ZONA URBANA	0	3328
BUENOS AIRES	VILLA GESELL	AV 12 E PASEOS 142 Y 143	0	7165
CORDOBA	CORDOBA	CNO A SAN CARLOS KM 7 1/2	0	5000
TUCUMAN	SAN MIGUEL, DEPTO. CRUZ ALTA	SIN NUMERO	0	4178
SANTA FE	MARCELINO ESCALADA	ZONA URBANA	0	3042
CORDOBA	HUINCA RENANCO	LAPRIDA Y SUIPACHA	0	6270
CORDOBA	ETRURIA	ZONA URBANA	0	2681
MISIONES	RUIZ DE MONTOYA	AV LOS INMIGRANTES	0	3334
SAN LUIS	BUENA ESPERANZA	INDEPENDENCIA	0	6277
BUENOS AIRES	CARMEN DE PATAGONES	MORENO Y SUIPACHA	0	8504
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	0	0	0
BUENOS AIRES	SAN ANTONIO DE ARECO	RUTA 41 KM. 35,6	0	2760
BUENOS AIRES	NECOCHEA	RUTA 86 KM 7 CASILLA DE CORREO 105	0	7630
ENTRE RIOS	COLONIA ADELA	SIMON BOLIVAR	0	3201
CORDOBA	RIO 3ro.	HILARIO CUADROS Y PTE ARTURO ILLIA	0	5850
CORDOBA	CORDOBA	CAMINO SAN ANTONIO KM. 4,5	0	5000
BUENOS AIRES	SAN FERNANDO	HUEYO Y LAS HERAS	0	1646
CORDOBA	CORDOBA	CIUDAD UNIVERSITARIA	0	5000
CORDOBA	MARCOS JUAREZ	RUTA 9 KM 444 5	0	2580
CORDOBA	HUANCHILLA	HUANCHILLA	0	6121
MENDOZA	TUNUYAN	FRENCH Y GODOY CRUZ	0	5560
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	DAVILA ADOLFO (ZONA PUERTO)	0	1107
BUENOS AIRES	VILLA RAMALLO	SAN MARTIN Y CLARK	0	2914
JUJUY	SAN PEDRO	86 VIVIVIENDAS	0	4500
CORDOBA	JESUS MARIA	RUTA 9 Y CORRIENTES	0	5220
CORDOBA	CORDOBA	CNO 60 CUADRAS KM 4 Y 1/2	0	5000
CHUBUT	COMODORO RIVADAVIA	HUGO MANSON Y PABLO ORTEGA	0	9000
BUENOS AIRES	CAPILLA DEL SEÑOR	RUTA 8 KM.67,200	0	2812
SALTA	CERRILLOS	FINCA BELGRANO	0	4403
SALTA	CERRILLOS	CERRILLOS	0	4403
FORMOSA	INGENIERO JUAREZ	AV DEGEN	0	3636
SAN LUIS	MERLO	RINCON DEL ESTE	0	5881
CORRIENTES	LA CRUZ (DPTO. SAN MARTIN)	UNION Y M.SUSSINI	0	3346
CORDOBA	COLONIA TIROLESA	RUTA A 74 KM 10	0	5101
CORDOBA	MALENA	AV SAN MARTIN	0	5839
CORDOBA	PILAR	RUTA NACIONAL 9 KM 6	0	5972
FORMOSA	EL OLVIDO	ZONA RURAL	0	3601
RIO NEGRO	CIPOLLETTI	CHACRA 7 LOTE 8 CASILLA DE CORREO 401	0	8324
BUENOS AIRES	FIORITO	PLUMERILLO Y GRAL PAZ	0	1831
BUENOS AIRES	VILLA GESELL	2 E PASEOS 127 Y 128	0	7165
BUENOS AIRES	VILLA INSUPERABLE	CROVARA AVDA. Y ACEVEDO 5266	0	1752
CORDOBA	MONTE REDONDO (DPTO. SAN JUSTO	RUTA 158 KM 8 Y 1/2	0	2423
MISIONES	POSADAS	RUTA 213 CAMPO LAS DOLORES	0	3300
MISIONES	POSADAS	CORDOBA Y JUJUY	0	3300
MISIONES	GOBERNADOR ROCA	ZONA RURAL 000	0	3324
MISIONES	CAMPO VIERA	ZONA RURAL	0	3362
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	DE LOS INMIGRANTES Y AV. EDISON ACCESO MAIPU	0	1104
CORDOBA	CORDOBA	BU ILLIA 165 MERCADO SUR PUESTO 7 Y 8	0	5000
SANTA FE	ALVEAR	ZONA URBANA	0	2126
SALTA	CERRILLOS	CERRILLOS	0	4403
MENDOZA	BERMEJO	CASA 22 MZ. G-BARRIO COOP. BERMEJO	0	5533
ENTRE RIOS	CHAJARI	COLONIA ENSANCHE SAUCE	0	3228
CORDOBA	LA CRUZ, DEPARTAMENTO CALAMUCHITA	SARMIENTO Y 9 DE JULIO	0	5859
CORDOBA	CORDOBA	342	0	5000
BUENOS AIRES	SAN ANDRES DE GILES	AV. SCULLY ESQ. MORGAN	0	6720
BUENOS AIRES	ARENAZA	ESTANCIA LA MATILDE	0	6075
RIO NEGRO	SAN CARLOS DE BARILOCHE	BARTOLOME MITRE Y ROLANDO	0	8400
CORDOBA	MORRISON	AV SAN MARTIN	0	2568
MISIONES	MONTECARLO	AV BRASIL Y DOCTOR WALDER	0	3384
SAN JUAN	ANGACO NORTE	AGUILERA Y ONTIVEROS	0	5415
BUENOS AIRES	PEHUAJO	RUTA 5 KM. 367,5	0	6450
BUENOS AIRES	VILLA FLANDRIA	AV FLANDES	0	6706
ENTRE RIOS	CONCORDIA	PARQUE INDUSTRIAL LOTE 1	0	3200
CATAMARCA	CATAMARCA	RUTA 38 KM 1305	0	4700
MISIONES	SAN JOSE	LOTE AGRICOLA 38 A	0	3306
MENDOZA	CIUDAD DE JUNIN	CARRIL BARRIALES	0	5573
FORMOSA	FORMOSA	SANTA CRUZ Y LAS HERAS	0	3600
CHUBUT	GOBERNADOR COSTA	GOBERNADOR COSTA	0	9223
ENTRE RIOS	LOS CHARRUAS	AV. FRANCISCO RAMIREZ S/N	0	3212
MISIONES	GARUPA	RUTA NAC. 105 - KM. 5	0	3304
BUENOS AIRES	BAYAUCA	ESTANCIA LA SARAH	0	6078
MENDOZA	ALGARROBO GRANDE	ESTRELLA S/N	0	5582
NEUQUEN	RINCON DE LOS SAUCES	AV. 30 DE OCTUBRE S/N	0	8319
CORDOBA	ALTA GRACIA	POZO DEL TALA	0	5186
TUCUMAN	LAS TALITAS	RUTA 9 KM 1298	0	4101
CORRIENTES	SANTO TOME	SAN MARTIN Y GRAL ROCA	0	3340
CORDOBA	ALTA GRACIA	PRUDENCIO BUSTOS ESQ A AGUIRRE	0	5186
SAN LUIS	NASCHEL	AV DEL MAIZ	0	5759
CORDOBA	HUINCA RENANCO	GUEMES	0	6270
MISIONES	COLONIA ALBERDI, DEPTO. OBERA	LOTE 68 SECCION VI	0	3361
BUENOS AIRES	PASO DEL REY	RUTA 5 (EX 7) KM 34,900	0	1742
SANTA FE	VENADO TUERTO	119 Y J C PAZ	0	2600
BUENOS AIRES	LINCOLN	ESTABLECIMIENTO RURALES DEL PARTIDO DE LINCOLN	0	6070
MISIONES	POSADAS	RUTA NAC.12-KM.5 1/2	0	3300
SALTA	CERRILLOS	FINCA BELGRANO	0	4403
SANTA FE	FIRMAT	25 DE MAYO E H IRIGOYEN	0	2630
BUENOS AIRES	EZPELETA	CENTENARIO Y HONDURAS	0	1882
SAN LUIS	MERLO	PEDERNERA S/N	0	5881
SANTA FE	CAÑADA RICA	ZONA RURAL	0	2105
BUENOS AIRES	QUILMES	895 Y RODOLFO LOPEZ	0	1878
BUENOS AIRES	9 DE JULIO	A BROWN Y J J PASO	0	6500
NEUQUEN	NEUQUEN	BEJARANO Y VILLA LA ANGOSTURA	0	8300
CORDOBA	MI GRANJA	RUTA 19 KM. 320	0	5125
CORDOBA	PACHECO DE MELO	S N	0	6121
BUENOS AIRES	GOLDNEY	CAMPO EL VECINO	0	6614
BUENOS AIRES	ARRECIFES	RUTA 8 KM 174,500	0	2740
CORDOBA	ALMAFUERTE	RUTA 6 KM 600	0	5854
CORDOBA	LA GRANJA	PUBLICA	0	5115
CORDOBA	HUINCA RENANCO	SANTA FE Y DR BLANCO	0	6270
MENDOZA	CIUDAD DE JUNIN	BELGRANO Y SALVADOR GONZALEZ	0	5573
BUENOS AIRES	ARRECIFES	RUTA 8 KM 176	0	2740
RIO NEGRO	RIO COLORADO	EL GUALICHO	0	8138
CORDOBA	SALDAN	JOHN KENNEDY Y VELEZ SARSFIELD	0	5149
BUENOS AIRES	MAR DEL PLATA	16 E 1 Y 3	0	7600
CORDOBA	ALEJANDRO	ITALIA AV.	0	2686
BUENOS AIRES	LA PLATA	131 ESQ. 62	0	1900
SANTA FE	MARCELINO ESCALADA	ZONA URBANA	0	3042
CORDOBA	MARCOS JUAREZ	RUTA 9 KM 446	0	2580
BUENOS AIRES	AZUL	RUTA 3 KM 302.20	0	7300
CORDOBA	CORDOBA	RUTA 19 KM. 7,5 -MERCADO DE ABASTO PTO. 408	0	5000
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CANTILO INTENDENTE Y GUIRALDES	0	1428
LA PAMPA	SANTA ROSA	AVDA SAN MARTIN Y 25 DE MAYO	0	6300
CORDOBA	RIO CUARTO	RUTA 8 KM 607 Y 1/2	0	5800
BUENOS AIRES	VILLA GESELL	AVENIDA 3 Y PASEO 132	0	7165
SALTA	CERRILLOS	FINCA LA CANARIA	0	4403
FORMOSA	INGENIERO JUAREZ	AV DEGEN	0	3636
