o_provincia	o_localidad	o_calle	o_numero	o_CP	n_provincia	n_partido	n_localidad	n_barrio	n_calle	n_numero	n_CP	n_resolucion	n_motivo	n_entre Calle 1	n_entre Calle 2	 CV_ZonaPeligrosa
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	PUEYRREDON AVDA.	480	1032	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	AV GRAL JUAN M DE PUEYRREDON	480	1032	CO	SM	DOCTOR JOSE VALENTIN GOMEZ	AVENIDA CORRIENTES	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	FREIRE RAMON CPTAN. GRAL.	932	1426	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	COLEGIALES	FREIRE	932	1426	CO	SM	PALPA	FRANCISCO DE CESPEDES	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	SAN JOSE	1469	1136	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CONSTITUCION	SAN JOSE	1469	1136	CO	SM	CONSTITUCION	PAVON	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CAÃ?ADA DE GOMEZ	1534	1440	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MATADEROS	CAÑADA DE GOMEZ	1534	1440	CO	SM	CORONEL BARTOLOME PIZARRO	PASAJE LUXEMBURGO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	ALEM LEANDRO N. AVDA.	661	1001	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	AV L N ALEM	661	1001	CO	SM	TUCUMAN	GENERAL JUAN JOSE VIAMONTE	N
BUENOS AIRES	MERLO	AVELLANEDA	486	1722	BUENOS AIRES	MERLO	MERLO		AVELLANEDA	486	1722	CO	SM	CHACABUCO	MAIPU	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CALDERON DE LA BARCA PEDRO	2261	1417	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONTE CASTRO	CALDERON DE LA BARCA	2261	1417	CO	SM	PASAJE PEIPING	GRANADERO JUAN BAUTISTA BAIGORRIA	N
CORDOBA	CORDOBA	AV. DON BOSCO	10	5000	CORDOBA		CORDOBA		AVENIDA DON BOSCO	10	5000	NE	AI			
CORDOBA	ALTA GRACIA	CARLOS PELLEGRINI	971	5186	CORDOBA	SANTA MARIA	ALTA GRACIA	CARLOS PELLEGRINI	AV PELLEGRINI	971	5186	CO	SM	BUNGE DE GALVEZ	ROMA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	LARRALDE CRISOLOGO	1890	1429	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	NUÑEZ	CRISOLOGO LARRALDE	1890	1429	CO	SM	3 DE FEBRERO	GRECIA	N
BUENOS AIRES	BANFIELD	FELIX DE AZARA	1780	1828	BUENOS AIRES	LOMAS DE ZAMORA	BANFIELD		FELIX DE AZARA	1780	1828	CO	SM	JUAN HIPOLITO VIEYTES	DOCTOR JOSE DE DARREGUEYRA	N
BUENOS AIRES	BECCAR	BRASIL	440	1643	BUENOS AIRES	SAN ISIDRO	BECCAR		BRASIL	440	1643	CO	SM	SUIPACHA	PAVON	N
