n_provincia	n_partido	n_localidad	n_barrio	n_calle	n_numero	n_CP
BUENOS AIRES	QUILMES	QUILMES		ASCASUBI	472	1878
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	TAGLE	2585	1425
CORDOBA	CAPITAL	CORDOBA	PARQUE LICEO 2DA	BELISARIO ROLDAN	1066	5019
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	DOMINGO F SARMIENTO	539	1041
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	AYACUCHO	1075	1111
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	FLORIDA	375	1005
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	AV SANTA FE	4990	1425
CAPITAL FEDERAL		CIUDAD AUTONOMA BUENOS AIRES		S/N		
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CABALLITO	PJE J ESTIVAO	39	1405
RIO NEGRO	SAN ANTONIO	SAN ANTONIO OESTE		GRAL SAN MARTIN	824	8520
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA URQUIZA	AV TRIUNVIRATO	5409	1431
LA PAMPA		SANTA ROSA		JUAN B JUSTO	169	6300
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	DEFENSA	113	1065
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	FLORES	F VALLESE	2329	1406
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	AV CALLAO	737	1023
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	DEAN FUNES	592	1231
BUENOS AIRES	TRES DE FEBRERO	SANTOS LUGARES		ALMAFUERTE	3927	1676
SAN LUIS	GENERAL PEDERNERA	VILLA MERCEDES	ALMIRANTE BROWN	SUIPACHA	783	5730
CORDOBA		PILAR		ZENON LOPEZ	957	5972
CORDOBA		CORDOBA		DUARTE QUIROS	96	5000
CORDOBA		GENERAL DEHEZA		BOULEVARD SAN MARTIN E INTENDENTE URQUIA		5923
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA PUEYRREDON	A VALLEJOS	2409	1419
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	COLEGIALES	F DE CESPEDES	2473	1426
BUENOS AIRES	LANUS	REMEDIOS DE ESCALADA	VILLA GENERAL SAN MARTIN	AV PTE H YRIGOYEN	6646	1826
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	AV CORDOBA	1345	1055
NEUQUEN	CONFLUENCIA	NEUQUEN	AREA CENTRO OESTE	SGTO J B CABRAL	537	8300
SAN LUIS		LA TOMA		AVENIDA DEL CASTILLO		5750
CORDOBA	JUAREZ CELMAN	LA CARLOTA		M ARRASCAETA	88	2670
MENDOZA	CAPITAL	MENDOZA		AV GRAL SAN MARTIN	931	5500
MENDOZA	CAPITAL	MENDOZA		AV GRAL SAN MARTIN	2745	5500
BUENOS AIRES	ALMIRANTE BROWN	ADROGUE	ALMIRANTE BROWN	AV T ESPORA	645	1846
BUENOS AIRES	VICENTE LOPEZ	FLORIDA		ESCALADA DE SAN MARTIN	1652	1602
BUENOS AIRES	TRES DE FEBRERO	CASEROS	PARTIDO 3 DE FEBRERO	GENERAL HORNOS		
CAPITAL FEDERAL		CIUDAD AUTONOMA BUENOS AIRES		AVENIDA COSTANERA NORTE		1426
BUENOS AIRES	LA MATANZA	CIUDAD MADERO		GRAL FRANCISCO A PINTO	755	1768
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	25 DE MAYO	529	1002
BUENOS AIRES	QUILMES	QUILMES		RIVADAVIA	176	1878
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA LURO	AV B RIVADAVIA	10142	1408
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA ORTUZAR	VIRREY G AVILES	3883	1427
MENDOZA	CAPITAL	MENDOZA		MARQUES DE AGUADO	745	5500
BUENOS AIRES	LA MATANZA	GONZALEZ CATAN		DR E FINOCHIETTO	5930	1759
SANTA CRUZ	DESEADO	LAS HERAS		AV RAMOS MEJIA	1157	9017
JUJUY	SAN PEDRO	SAN PEDRO	CENTRO	GRAL MITRE	51	4500
MENDOZA		VILLA NUEVA DE GUAYMALLEN		MIGUEL A SERVET	2148	5521
MISIONES	CAPITAL	POSADAS	EL PALOMAR	AV REP ORIENTAL DEL URUGUAY	2780	3300
SALTA	ORAN	SAN RAMON DE LA NUEVA ORAN		DOMINGO F SARMIENTO	435	4530
BUENOS AIRES	LA PLATA	LA PLATA		AV CENTENARIO		1900
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CHACARITA	AV CORRIENTES	6277	1427
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CABALLITO	CHACO	61	1424
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	FLORES	AV DR N AVELLANEDA	3158	1406
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PARQUE PATRICIOS	GRITO DE ASENCIO	3169	1437
MENDOZA	GUAYMALLEN	VILLA NUEVA DE GUAYMALLEN		AV LIBERTAD	1152	5521
