n_provincia	n_partido	n_localidad	n_barrio	n_calle	n_numero	n_CP
TUCUMAN	CAPITAL	SAN MIGUEL DE TUCUMAN	NORTE	DR M DE AVELLANEDA	335	4000
BUENOS AIRES	AVELLANEDA	AVELLANEDA		E ZEBALLOS	885	1870
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	FLORIDA	234	1005
CORDOBA			BARRIO JORGE NEWBERY	MATIENZO	5848	5000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	DR B DE IRIGOYEN	546	1072
TUCUMAN		SAN MIGUEL DE TUCUMAN		BELGRANO	86	4000
BUENOS AIRES	ESTEBAN ECHEVERRIA	MONTE GRANDE	LA PAZ	BOLIVAR	1092	1842
BUENOS AIRES	JUNIN	JUNIN	EL PICAFLOR	PTE H YRIGOYEN	689	6000
BUENOS AIRES	GENERAL SAN MARTIN	VILLA BALLESTER		PASAJE 104	3536	1653
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	BILLINGHURST	2560	1425
MENDOZA		GODOY CRUZ		RODRIGUEZ PEAA	936	5501
BUENOS AIRES	CHASCOMUS	CHASCOMUS		ARENALES	20	7130
SANTA CRUZ	DESEADO	LAS HERAS		BO JUAN DOMINGO PERON		9017
BUENOS AIRES	VICENTE LOPEZ	VILLA MARTELLI		VENEZUELA	3652	1603
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	FLORIDA	234	1005
CAPITAL FEDERAL		CIUDAD AUTONOMA BUENOS AIRES		FRAY JUSTO SANTAMARIA DE ORO	2491	1425
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA CRESPO	M ANTEZANA	38	1414
BUENOS AIRES	TIGRE	TIGRE		VICENTE LOPEZ	421	1648
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	MAIPU	942	1006
BUENOS AIRES	AVELLANEDA	AVELLANEDA		AVENIDA DE BENEDETTI	2851	1870
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BELGRANO	J SUPERI	2490	1430
SANTA FE	ROSARIO	ROSARIO	CENTRO	JUAN M DE ROSAS	1271	2000
BUENOS AIRES	AZUL	AZUL		GRAL SAN MARTIN	902	7300
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	LINIERS	T GORDILLO	33	1408
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	JOSE ANTONIO MAURE	1630	1426
BUENOS AIRES	ITUZAINGO	ITUZAINGO	PEDRO ZANNI	AGUARIBAY	758	1714
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	RIOBAMBA	1019	1116
BUENOS AIRES	BERAZATEGUI	BERAZATEGUI		AVENIDA MITRE		1884
MISIONES	SAN IGNACIO	JARDIN AMERICA		RN 12		3328
MISIONES		POSADAS		CNEL ALVAREZ		3300
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	COGHLAN	FRANKLIN D ROOSEVELT	3749	1430
SANTA FE	ROSARIO	ROSARIO	MERCEDES DE SAN MARTIN	BV N OROÑO	5555	2011
BUENOS AIRES		CIUDAD MADERO		CORONEL DOMINGUEZ	430	1768
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	FLORIDA	234	1005
TUCUMAN	CRUZ ALTA	LOS RALOS		AV GRAL SAN MARTIN		4182
MISIONES	LEANDRO N ALEM	LEANDRO N ALEM		ALTE G BROWN	155	3315
BUENOS AIRES	BAHIA BLANCA	INGENIERO WHITE		M GUIDO		8103
ENTRE RIOS		VILLA DEL ROSARIO		COLONIA VILLA DEL ROSARIO		3229
BUENOS AIRES	MERLO	MERLO		CARDENAS	867	1722
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CABALLITO	NEUQUEN	602	1405
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	NUÑEZ	RAMALLO	2318	1429
BUENOS AIRES	LA MATANZA	VILLA CELINA		TABLADA	827	1772
BUENOS AIRES	LOMAS DE ZAMORA	LOMAS DE ZAMORA		ITALIA	254	1832
BUENOS AIRES	LANUS	LANUS ESTE		CHAVEZ		1825
